judet,data,categorie_pers,total_doze,astra,pfizer,moderna
Bacau,2021-03-10,toate,796,144,582,70
Bacau,2021-03-11,1,21,1,20,0
Bacau,2021-03-11,2,717,135,532,50
Bacau,2021-03-11,3,0,0,0,0
Bacau,2021-03-11,toate,738,136,552,50
Bacau,2021-03-12,1,40,7,32,1
Bacau,2021-03-12,2,781,114,638,29
Bacau,2021-03-12,3,2,0,2,0
Bacau,2021-03-12,toate,823,121,672,30
Bacau,2021-03-13,1,43,5,37,1
Bacau,2021-03-13,2,746,102,605,39
Bacau,2021-03-13,3,13,0,13,0
Bacau,2021-03-13,toate,802,107,655,40
Bacau,2021-03-14,1,23,3,19,1
Bacau,2021-03-14,2,723,133,561,29
Bacau,2021-03-14,3,2,0,2,0
Bacau,2021-03-14,toate,748,136,582,30
Bacau,2021-03-15,1,52,1,51,0
Bacau,2021-03-15,2,1062,123,714,225
Bacau,2021-03-15,3,9,0,4,5
Bacau,2021-03-15,toate,1123,124,769,230
Bacau,2021-03-16,1,44,2,39,3
Bacau,2021-03-16,2,1067,89,657,321
Bacau,2021-03-16,3,11,0,5,6
Bacau,2021-03-16,toate,1122,91,701,330
Bacau,2021-03-17,1,34,1,28,5
Bacau,2021-03-17,2,1054,91,637,326
Bacau,2021-03-17,3,23,7,7,9
Bacau,2021-03-17,toate,1111,99,672,340
Bacau,2021-03-18,1,61,2,54,5
Bacau,2021-03-18,2,1095,104,688,303
Bacau,2021-03-18,3,36,21,3,12
Bacau,2021-03-18,toate,1192,127,745,320
Bacau,toate,1,623,85,516,22
Bacau,toate,2,14943,2573,10338,2032
Bacau,toate,3,101,28,39,34
Bacau,toate,toate,15667,2686,10893,2088
Bihor,2021-03-01,1,53,11,42,0
Bihor,2021-03-01,2,924,210,714,0
Bihor,2021-03-01,3,0,0,0,0
Bihor,2021-03-01,toate,977,221,756,0
Bihor,2021-03-02,1,43,13,30,0
Bihor,2021-03-02,2,983,149,834,0
Bihor,2021-03-02,3,0,0,0,0
Bihor,2021-03-02,toate,1026,162,864,0
Bihor,2021-03-03,1,107,19,88,0
Bihor,2021-03-03,2,1197,169,1028,0
Bihor,2021-03-03,3,0,0,0,0
Bihor,2021-03-03,toate,1304,188,1116,0
Bihor,2021-03-04,1,184,8,175,1
Bihor,2021-03-04,2,1470,136,1085,249
Bihor,2021-03-04,3,0,0,0,0
Bihor,2021-03-04,toate,1654,144,1260,250
Bihor,2021-03-05,1,86,10,74,2
Bihor,2021-03-05,2,1349,179,922,248
Bihor,2021-03-05,3,0,0,0,0
Bihor,2021-03-05,toate,1435,189,996,250
Bihor,2021-03-06,1,34,9,23,2
Bihor,2021-03-06,2,1379,170,931,278
Bihor,2021-03-06,3,0,0,0,0
Bihor,2021-03-06,toate,1413,179,954,280
Bihor,2021-03-07,1,35,11,22,2
Bihor,2021-03-07,2,1404,153,943,308
Bihor,2021-03-07,3,1,0,1,0
Bihor,2021-03-07,toate,1440,164,966,310
Bihor,2021-03-08,1,35,9,25,1
Bihor,2021-03-08,2,1360,194,1036,130
Bihor,2021-03-08,3,2,0,1,1
Bihor,2021-03-08,toate,1397,203,1062,132
Bihor,2021-03-09,1,69,22,47,0
Bihor,2021-03-09,2,1452,187,1097,168
Bihor,2021-03-09,3,3,1,2,0
Bihor,2021-03-09,toate,1524,210,1146,168
Bihor,2021-03-10,1,123,8,115,0
Bihor,2021-03-10,2,1753,193,1430,130
Bihor,2021-03-10,3,4,1,3,0
Bihor,2021-03-10,toate,1880,202,1548,130
Bihor,2021-03-11,1,145,10,125,10
Bihor,2021-03-11,2,1607,191,1277,139
Bihor,2021-03-11,3,3,0,2,1
Bihor,2021-03-11,toate,1755,201,1404,150
Bihor,2021-03-12,1,157,6,150,1
Bihor,2021-03-12,2,1658,174,1335,149
Bihor,2021-03-12,3,3,0,3,0
Bihor,2021-03-12,toate,1818,180,1488,150
Bihor,2021-03-13,1,53,1,52,0
Bihor,2021-03-13,2,1423,184,1112,127
Bihor,2021-03-13,3,3,0,0,3
Bihor,2021-03-13,toate,1479,185,1164,130
Bihor,2021-03-14,1,48,9,36,3
Bihor,2021-03-14,2,1314,152,1025,137
Bihor,2021-03-14,3,1,0,1,0
Bihor,2021-03-14,toate,1363,161,1062,140
Bihor,2021-03-15,1,39,5,27,7
Bihor,2021-03-15,2,1540,188,1045,307
Bihor,2021-03-15,3,10,2,2,6
Bihor,2021-03-15,toate,1589,195,1074,320
Bihor,2021-03-16,1,122,5,89,28
Bihor,2021-03-16,2,1871,160,1103,608
Bihor,2021-03-16,3,12,6,2,4
Bihor,2021-03-16,toate,2005,171,1194,640
Bihor,2021-03-17,1,66,5,61,0
Bihor,2021-03-17,2,1504,131,1153,220
Bihor,2021-03-17,3,31,21,10,0
Bihor,2021-03-17,toate,1601,157,1224,220
